Steps_Before,Hour,Date,DOW,Is_Weekend,Abandon_Ratio,Avg_Sess_Per_Month,Is_AB
7,13,23,4,0.0,0.5,0.8,1.0
14,7,21,2,0.0,1.0,0.2,1.0
24,6,24,5,0.0,0.35,4.6,1.0
8,6,24,5,0.0,0.35,4.6,1.0
8,6,24,5,0.0,0.35,4.6,1.0
10,7,24,5,0.0,0.35,4.6,0.0
9,8,24,5,0.0,0.35,4.6,0.0
15,3,22,3,0.0,1.0,1.8,1.0
6,9,24,5,0.0,0.33,0.6,1.0
34,14,30,4,0.0,1.0,0.2,1.0
6,9,23,4,0.0,0.09,8.8,0.0
7,4,30,4,0.0,0.86,2.8,1.0
28,8,21,2,0.0,0.25,3.2,1.0
42,17,30,4,0.0,1.0,0.2,1.0
10,7,20,1,0.0,0.46,2.6,1.0
14,4,24,5,0.0,0.46,2.6,1.0
15,14,20,1,0.0,0.0,5.2,0.0
9,7,21,2,0.0,0.0,5.2,0.0
9,11,21,2,0.0,0.0,5.2,0.0
32,4,20,1,0.0,1.0,0.2,1.0
7,5,30,4,0.0,0.25,2.4,0.0
6,16,30,4,0.0,0.25,2.4,1.0
4,11,20,1,0.0,0.0,1.2,0.0
4,4,22,3,0.0,0.0,1.2,0.0
4,13,23,4,0.0,0.0,1.2,0.0
7,13,20,1,0.0,0.11,3.8,0.0
6,11,21,2,0.0,0.03,6.2,0.0
6,8,22,3,0.0,0.03,6.2,0.0
7,8,30,4,0.0,0.03,6.2,0.0
7,14,21,2,0.0,0.67,0.6,0.0
8,5,23,4,0.0,0.67,0.6,1.0
4,3,24,5,0.0,0.08,2.4,0.0
11,20,24,5,0.0,1.0,0.2,1.0
13,8,30,4,0.0,0.0,2.4,0.0
12,8,30,4,0.0,0.09,4.6,0.0
6,9,30,4,0.0,0.09,4.6,0.0
7,13,30,4,0.0,0.09,4.6,0.0
4,2,30,4,0.0,0.29,1.4,0.0
6,11,23,4,0.0,0.08,2.4,0.0
18,8,23,4,0.0,0.33,1.2,0.0
4,3,22,3,0.0,0.07,2.8,0.0
6,7,22,3,0.0,1.0,0.2,1.0
19,3,30,4,0.0,1.0,0.6,1.0
50,17,30,4,0.0,0.43,1.4,1.0
5,8,23,4,0.0,1.0,0.2,1.0
4,4,30,4,0.0,0.0,1.0,0.0
9,2,21,2,0.0,0.25,4.8,1.0
7,19,23,4,0.0,0.12,9.6,0.0
6,2,30,4,0.0,0.12,9.6,0.0
6,15,30,4,0.0,0.12,9.6,0.0
22,9,30,4,0.0,0.75,0.8,1.0
3,8,30,4,0.0,0.33,1.8,0.0
7,8,30,4,0.0,0.33,1.8,1.0
13,1,30,4,0.0,0.25,0.8,0.0
6,12,21,2,0.0,0.33,1.2,1.0
11,6,20,1,0.0,0.08,2.4,0.0
4,12,22,3,0.0,0.08,2.4,0.0
9,9,30,4,0.0,0.08,2.4,0.0
4,7,22,3,0.0,0.25,1.6,0.0
6,16,23,4,0.0,0.38,1.6,0.0
6,9,23,4,0.0,0.0,1.8,0.0
12,8,30,4,0.0,1.0,0.2,1.0
7,18,30,4,0.0,0.5,0.4,1.0
6,15,24,5,0.0,0.12,8.6,0.0
6,17,24,5,0.0,0.12,8.6,0.0
7,17,24,5,0.0,0.12,8.6,0.0
33,14,21,2,0.0,1.0,0.8,1.0
15,14,21,2,0.0,1.0,0.8,1.0
11,13,24,5,0.0,1.0,0.8,1.0
5,5,30,4,0.0,1.0,0.8,1.0
5,12,23,4,0.0,1.0,0.4,1.0
14,11,24,5,0.0,1.0,0.4,1.0
52,13,30,4,0.0,1.0,0.2,1.0
12,1,21,2,0.0,0.08,13.2,0.0
6,6,21,2,0.0,0.08,13.2,0.0
1,6,21,2,0.0,0.08,13.2,0.0
7,7,22,3,0.0,0.08,13.2,0.0
24,6,23,4,0.0,0.08,13.2,0.0
6,6,24,5,0.0,0.08,13.2,0.0
5,9,24,5,0.0,0.08,13.2,0.0
6,11,24,5,0.0,0.08,13.2,0.0
27,10,30,4,0.0,0.08,13.2,1.0
6,3,24,5,0.0,0.43,2.8,0.0
8,7,21,2,0.0,1.0,0.8,1.0
11,10,20,1,0.0,0.18,2.2,0.0
11,9,20,1,0.0,0.0,2.0,0.0
4,5,21,2,0.0,0.0,2.0,0.0
5,11,4,1,0.0,0.0,0.4,0.0
4,13,11,1,0.0,0.0,0.4,0.0
8,5,19,2,0.0,0.33,1.8,0.0
5,8,20,3,0.0,0.33,1.8,1.0
4,9,20,3,0.0,0.33,1.8,0.0
5,6,21,4,0.0,0.33,1.8,0.0
16,4,23,6,1.0,0.33,1.8,0.0
24,15,1,5,0.0,0.63,3.8,0.0
21,14,6,3,0.0,0.63,3.8,1.0
13,1,8,5,0.0,0.63,3.8,0.0
4,14,3,0,1.0,0.33,1.2,1.0
4,15,3,0,1.0,0.33,1.2,1.0
2,7,19,2,0.0,0.33,1.2,0.0
6,11,22,5,0.0,0.33,1.2,0.0
6,5,2,6,1.0,0.29,1.4,0.0
2,14,4,1,0.0,0.29,1.4,0.0
4,13,21,4,0.0,0.29,1.4,0.0
20,12,1,5,0.0,0.33,3.0,0.0
9,5,10,0,1.0,0.33,3.0,1.0
4,5,15,5,0.0,0.33,3.0,0.0
5,7,18,1,0.0,0.33,3.0,1.0
16,13,19,2,0.0,0.33,3.0,0.0
5,9,26,2,0.0,0.33,3.0,1.0
4,6,29,5,0.0,0.33,3.0,0.0
7,9,29,5,0.0,0.33,3.0,0.0
3,14,6,3,0.0,0.73,2.2,1.0
9,4,7,4,0.0,0.73,2.2,1.0
4,4,7,4,0.0,0.73,2.2,1.0
5,5,7,4,0.0,0.73,2.2,1.0
5,5,8,5,0.0,0.73,2.2,1.0
5,6,8,5,0.0,0.73,2.2,0.0
11,16,17,0,1.0,0.73,2.2,1.0
12,3,28,4,0.0,0.73,2.2,1.0
15,8,17,0,1.0,1.0,0.2,1.0
3,4,4,1,0.0,1.0,0.2,1.0
16,9,29,5,0.0,1.0,1.2,1.0
12,17,1,5,0.0,1.0,0.8,1.0
12,18,1,5,0.0,1.0,0.8,1.0
7,12,4,1,0.0,0.5,0.8,1.0
7,12,4,1,0.0,0.5,0.8,0.0
1,13,4,1,0.0,0.5,0.8,0.0
10,7,9,6,1.0,0.0,0.6,0.0
7,15,11,1,0.0,1.0,0.8,1.0
5,15,11,1,0.0,1.0,0.8,1.0
7,17,26,2,0.0,1.0,0.8,1.0
3,22,5,2,0.0,0.35,4.6,1.0
3,4,6,3,0.0,0.35,4.6,1.0
6,4,6,3,0.0,0.35,4.6,0.0
9,7,6,3,0.0,0.35,4.6,0.0
9,9,10,0,1.0,0.35,4.6,0.0
10,11,30,6,1.0,0.35,4.6,0.0
3,11,30,6,1.0,0.35,4.6,0.0
3,7,1,5,0.0,0.5,0.4,0.0
6,5,2,6,1.0,0.5,0.4,1.0
11,3,8,5,0.0,1.0,0.4,1.0
4,14,1,5,0.0,1.0,0.4,1.0
16,14,4,1,0.0,0.12,1.6,0.0
15,17,8,5,0.0,1.0,0.2,1.0
7,10,6,3,0.0,1.0,0.4,1.0
8,7,7,4,0.0,1.0,0.4,1.0
18,14,6,3,0.0,0.65,4.0,1.0
6,14,6,3,0.0,0.65,4.0,1.0
9,3,7,4,0.0,0.65,4.0,0.0
11,4,8,5,0.0,0.65,4.0,0.0
1,13,6,3,0.0,0.0,0.2,0.0
7,11,3,0,1.0,0.0,0.2,0.0
7,7,24,0,1.0,0.1,2.0,0.0
12,11,2,6,1.0,0.0,0.6,0.0
5,21,17,0,1.0,0.0,0.6,0.0
37,18,26,2,0.0,0.0,0.6,0.0
3,14,8,5,0.0,1.0,0.2,1.0
18,8,14,4,0.0,1.0,1.8,1.0
6,7,21,4,0.0,0.0,1.0,0.0
6,4,27,3,0.0,0.0,1.0,0.0
10,14,2,6,1.0,0.29,8.4,1.0
14,5,12,2,0.0,0.29,8.4,0.0
5,12,15,5,0.0,0.29,8.4,0.0
10,15,22,5,0.0,0.29,8.4,0.0
11,12,30,6,1.0,0.29,8.4,0.0
6,10,14,4,0.0,0.3,2.0,1.0
8,8,15,5,0.0,0.3,2.0,1.0
0,10,15,5,0.0,0.3,2.0,0.0
0,11,15,5,0.0,0.3,2.0,1.0
28,10,29,5,0.0,0.3,2.0,0.0
10,6,31,0,1.0,0.5,2.8,1.0
4,9,9,6,1.0,0.43,1.4,1.0
17,10,9,6,1.0,0.43,1.4,1.0
14,7,10,0,1.0,0.43,1.4,1.0
8,11,10,0,1.0,0.43,1.4,0.0
9,12,2,6,1.0,0.5,0.4,0.0
6,16,11,1,0.0,0.5,0.4,1.0
7,14,3,0,1.0,0.31,2.6,1.0
5,17,3,0,1.0,0.31,2.6,0.0
6,16,20,3,0.0,0.31,2.6,1.0
30,16,20,3,0.0,0.31,2.6,1.0
11,5,25,1,0.0,0.31,2.6,0.0
16,3,16,6,1.0,0.4,2.0,1.0
1,8,16,6,1.0,0.4,2.0,1.0
10,10,25,1,0.0,0.4,2.0,0.0
16,12,30,6,1.0,0.4,2.0,0.0
2,5,18,1,0.0,0.33,0.6,0.0
3,5,27,3,0.0,0.33,0.6,0.0
4,4,9,6,1.0,0.14,2.8,0.0
7,14,9,6,1.0,0.14,2.8,1.0
4,9,10,0,1.0,0.14,2.8,1.0
7,15,9,6,1.0,1.0,0.2,1.0
4,11,2,6,1.0,0.5,0.4,1.0
